,Adj Close
667,2772.350098
668,2770.3701170000004
669,2779.030029
670,2782.0
671,2786.850098
672,2775.6298829999996
673,2782.48999
674,2779.659912
675,2773.75
676,2762.590088
677,2767.320068
678,2749.76001
679,2754.8798829999996
680,2717.070068
681,2723.060059
682,2699.6298829999996
683,2716.310059
684,2718.3701170000004
685,2726.709961
686,2713.219971
687,2736.610107
688,2759.820068
689,2784.169922
690,2793.840088
691,2774.02002
692,2798.290039
693,2801.310059
694,2798.429932
695,2809.550049
696,2815.6201170000004
697,2804.48999
698,2801.830078
699,2806.97998
700,2820.399902
701,2846.070068
702,2837.439941
703,2818.820068
704,2802.600098
705,2816.290039
706,2813.360107
707,2827.219971
708,2840.350098
709,2850.399902
710,2858.449951
711,2857.699951
712,2853.580078
713,2833.280029
714,2821.929932
715,2839.959961
716,2818.3701170000004
717,2840.689941
718,2850.1298829999996
719,2857.050049
720,2862.959961
721,2861.820068
722,2856.97998
723,2874.689941
724,2896.73999
725,2897.52002
726,2914.040039
727,2901.1298829999996
728,2901.52002
729,2896.719971
730,2888.600098
731,2878.050049
732,2871.679932
733,2877.1298829999996
734,2887.889893
735,2888.919922
736,2904.179932
737,2904.97998
738,2888.800049
739,2904.310059
740,2907.949951
741,2930.75
742,2929.669922
743,2919.3701170000004
744,2915.560059
745,2905.969971
746,2914.0
747,2913.97998
748,2924.590088
749,2923.429932
750,2925.51001
751,2901.610107
752,2885.570068
